language,task,item_id,manualApproved,needsReview,reason,approvalUpdatedAt,reviewUpdatedAt,updatedYesterday,approvedToday,needsReviewToday,scoreSource,score
de,other,general-rotate-device,false,true,second ry,,,false,false,false,,0.5
de,other,task-completion,false,true,wrong tense,,,false,false,false,,0.125
de,other,components/participant-sidebar.grade,false,true,test,,,false,false,false,,
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::ChildSurveyIntro,false,true,Escuela vs. colegio in questions,,,false,false,false,ai,0.4
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::Example1Comic,true,false,,,,false,false,false,manual,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::Example2Neat,false,true,escuela vs. colegio,,,false,false,false,ai,0.7
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::TeacherNice,true,false,,,,false,false,false,manual,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::TeacherLike,true,false,,,,false,false,false,manual,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::SchoolFun,false,true,escuela vs. colegio,,,false,false,false,ai,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::TeacherListen,true,false,,,,false,false,false,manual,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::SchoolEnjoy,false,true,escuela vs. colegio,,,false,false,false,ai,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::SchoolHappy,false,true,escuela vs. colegio,,,false,false,false,ai,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::SchoolSafe,false,true,escuela vs. colegio,,,false,false,false,ai,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::ClassFriends,true,false,,,,false,false,false,manual,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::ClassHelp,true,false,,,,false,false,false,manual,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::ClassPlay,true,false,,,,false,false,false,manual,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::ClassNice,true,false,,,,false,false,false,manual,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::LonelySchool,false,true,escuela vs. colegio,,,false,false,false,ai,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::LearningGood,false,true,escuela vs. colegio,,,false,false,false,ai,0.9
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::SchoolGiveUp,true,false,,,,false,false,false,manual,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::MathEnjoy,false,true,escuela vs. colegio,,,false,false,false,ai,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::ReadingGood,true,false,,,,false,false,false,manual,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::MathGood,true,false,,,,false,false,false,manual,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::GrowthMindSmart,true,false,,,,false,false,false,manual,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::ChildSurveyRespoonses,true,false,,,,false,false,false,manual,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::GrowthMindRead,true,false,,,,false,false,false,manual,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::GrowthMindMath,true,false,,,,false,false,false,manual,1
es-ar,thoughts-feelings,main/itembank_by_task/thoughts-feelings.xliff::child-survey-intro-no-responses,false,true,reconcile with original introduction (and add first two are for practice),,,false,false,false,ai,0.4
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-003,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-001,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-002,false,true,confirm change from es-CO,,,false,false,false,ai,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-004,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-006,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-005,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-007,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-008,false,true,el soplador vs. la sopladora,,,false,false,false,ai,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-011,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-010,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-009,true,false,,,,false,false,false,manual,1
es-ar,vocab,main/itembank_by_task/vocab.xliff::vocab-item-012,true,false,,,,false,false,false,manual,1
